x,y,latitude,transparen,station_vi,longitude,fid,visit_date,color_id
23.9833,57.1,57.100000000000001,1.600000000000000,98006.0,23.983300000000000,1,1998/02/14 12:30:00.000,19.0
23.85,57.3,57.299999999999997,4.000000000000000,98007.0,23.850000000000001,2,1998/02/14 15:35:00.000,9.0
23.85,57.3,57.299999999999997,2.500000000000000,98011.0,23.850000000000001,3,1998/03/11 12:20:00.000,16.0
23.9333,57.1667,57.166699999999999,1.600000000000000,98012.0,23.933299999999999,4,1998/03/11 15:22:00.000,19.0
23.9833,57.1,57.100000000000001,1.200000000000000,98013.0,23.983300000000000,5,1998/03/11 16:15:00.000,19.0
24.0017,57.0833,57.083300000000001,1.100000000000000,98014.0,24.001700000000000,6,1998/03/11 17:15:00.000,21.0
23.6167,57.6167,57.616700000000002,3.900000000000000,98019.0,23.616700000000002,7,1998/03/25 06:30:00.000,9.0
23.7667,57.4167,57.416699999999999,3.600000000000000,98020.0,23.766700000000000,8,1998/03/25 08:30:00.000,9.0
23.85,57.3,57.299999999999997,2.100000000000000,98021.0,23.850000000000001,9,1998/03/25 09:20:00.000,15.0
23.9333,57.1667,57.166699999999999,2.100000000000000,98022.0,23.933299999999999,10,1998/03/25 12:15:00.000,19.0
23.9833,57.1,57.100000000000001,1.600000000000000,98023.0,23.983300000000000,11,1998/03/25 13:25:00.000,21.0
24.0017,57.0833,57.083300000000001,1.500000000000000,98024.0,24.001700000000000,12,1998/03/25 14:05:00.000,21.0
23.85,57.3,57.299999999999997,2.400000000000000,98026.0,23.850000000000001,13,1998/04/07 11:30:00.000,17.0
24.0017,57.0833,57.083300000000001,1.400000000000000,98027.0,24.001700000000000,14,1998/04/07 14:20:00.000,19.0
24.0017,57.0833,57.083300000000001,1.100000000000000,98030.0,24.001700000000000,15,1998/04/23 11:10:00.000,21.0
23.9833,57.1,57.100000000000001,1.500000000000000,98031.0,23.983300000000000,16,1998/04/23 12:30:00.000,19.0
23.9333,57.1667,57.166699999999999,1.900000000000000,98032.0,23.933299999999999,17,1998/04/23 13:45:00.000,13.0
23.85,57.3,57.299999999999997,2.100000000000000,98033.0,23.850000000000001,18,1998/04/23 15:15:00.000,11.0
23.7667,57.4167,57.416699999999999,2.200000000000000,98034.0,23.766700000000000,19,1998/04/23 17:10:00.000,9.0
23.4833,57.4,57.399999999999999,2.100000000000000,98035.0,23.483300000000000,20,1998/04/23 18:55:00.000,9.0
23.2123,57.3275,57.327500000000001,2.900000000000000,98036.0,23.212299999999999,21,1998/04/23 20:35:00.000,9.0
23.6167,57.6167,57.616700000000002,2.600000000000000,98038.0,23.616700000000002,22,1998/04/24 06:40:00.000,9.0
24.1167,57.6,57.600000000000001,2.400000000000000,98039.0,24.116700000000002,23,1998/04/24 10:20:00.000,11.0
24.3367,57.5933,57.593299999999999,2.900000000000000,98040.0,24.336700000000000,24,1998/04/24 11:25:00.000,13.0
24.0833,57.35,57.350000000000001,2.000000000000000,98041.0,24.083300000000001,25,1998/04/24 13:50:00.000,21.0
24.3733,57.315,57.314999999999998,1.800000000000000,98042.0,24.373300000000000,26,1998/04/24 15:40:00.000,21.0
24.0017,57.0833,57.083300000000001,1.300000000000000,98005.0,24.001700000000000,27,1998/02/14 11:20:00.000,21.0
24.0017,57.0833,57.083300000000001,1.800000000000000,98002.0,24.001700000000000,28,1998/01/21 14:40:00.000,21.0
23.85,57.3,57.299999999999997,4.100000000000000,98001.0,23.850000000000001,29,1998/01/21 11:40:00.000,9.0
24.3667,57.24,57.240000000000002,1.400000000000000,98043.0,24.366700000000002,30,1998/04/24 16:25:00.000,21.0
24.25,57.1683,57.168300000000002,1.300000000000000,98044.0,24.250000000000000,31,1998/04/24 17:30:00.000,21.0
23.6667,57.1667,57.166699999999999,2.000000000000000,98045.0,23.666699999999999,32,1998/04/24 20:05:00.000,19.0
23.4867,57.0467,57.046700000000001,2.100000000000000,98046.0,23.486699999999999,33,1998/04/25 06:08:00.000,21.0
23.92,57.025,57.024999999999999,1.800000000000000,98047.0,23.920000000000002,34,1998/04/25 08:05:00.000,21.0
24.0017,57.0833,57.083300000000001,1.600000000000000,98051.0,24.001700000000000,35,1998/05/05 11:10:00.000,21.0
24.0093,57.0792,57.079200000000000,1.600000000000000,98052.0,24.009300000000000,36,1998/05/05 12:45:00.000,21.0
23.9792,57.0737,57.073700000000002,1.700000000000000,98053.0,23.979199999999999,37,1998/05/05 13:25:00.000,21.0
23.9793,57.0577,57.057699999999997,2.700000000000000,98054.0,23.979299999999999,38,1998/05/05 14:25:00.000,19.0
23.9683,57.0433,57.043300000000002,2.800000000000000,98055.0,23.968299999999999,39,1998/05/05 15:10:00.000,15.0
23.9568,57.0573,57.057299999999998,2.900000000000000,98056.0,23.956800000000001,40,1998/05/05 16:20:00.000,19.0
23.9333,57.0542,57.054200000000002,2.100000000000000,98057.0,23.933299999999999,41,1998/05/05 16:45:00.000,19.0
23.8952,57.0872,57.087200000000003,1.900000000000000,98058.0,23.895199999999999,42,1998/05/05 17:10:00.000,21.0
23.8425,57.0687,57.068700000000000,1.900000000000000,98059.0,23.842500000000001,43,1998/05/05 17:40:00.000,21.0
23.9565,57.1243,57.124299999999998,1.900000000000000,98060.0,23.956499999999998,44,1998/05/05 19:25:00.000,21.0
23.9833,57.1,57.100000000000001,1.800000000000000,98061.0,23.983300000000000,45,1998/05/05 19:55:00.000,21.0
24.0017,57.0833,57.083300000000001,0.900000000000000,98063.0,24.001700000000000,46,1998/05/11 10:55:00.000,19.0
23.9833,57.1,57.100000000000001,1.400000000000000,98064.0,23.983300000000000,47,1998/05/11 11:40:00.000,21.0
23.9333,57.1667,57.166699999999999,1.400000000000000,98065.0,23.933299999999999,48,1998/05/11 13:35:00.000,13.0
23.85,57.3,57.299999999999997,2.600000000000000,98066.0,23.850000000000001,49,1998/05/11 14:40:00.000,9.0
23.7667,57.4167,57.416699999999999,1.900000000000000,98067.0,23.766700000000000,50,1998/05/11 16:55:00.000,13.0
23.4833,57.4,57.399999999999999,1.900000000000000,98068.0,23.483300000000000,51,1998/05/11 19:20:00.000,9.0
23.2508,57.3331,57.333100000000002,2.100000000000000,98069.0,23.250800000000002,52,1998/05/11 20:45:00.000,9.0
23.2123,57.3275,57.327500000000001,2.200000000000000,98070.0,23.212299999999999,53,1998/05/11 21:20:00.000,9.0
22.9833,57.5667,57.566699999999997,2.500000000000000,98071.0,22.983300000000000,54,1998/05/12 07:00:00.000,9.0
22.8833,57.7976,57.797600000000003,3.200000000000000,98072.0,22.883299999999998,55,1998/05/12 09:30:00.000,13.0
23.35,57.96,57.960000000000001,2.000000000000000,98073.0,23.350000000000001,56,1998/05/12 12:05:00.000,9.0
23.6167,57.6167,57.616700000000002,2.400000000000000,98074.0,23.616700000000002,57,1998/05/12 16:25:00.000,15.0
24.3367,57.5933,57.593299999999999,1.400000000000000,98075.0,24.336700000000000,58,1998/05/13 05:55:00.000,12.0
