x,y,latitude,transparency_m,station_vi,longitude,fid,visit_date,color_id,HELCOM_ID,country,level_2,Name,Open_sea,F2_Name,new_area_k,Shape_Leng,Shape_Area
23.85,57.3,57.3,2.4,98026,23.85,13,1998/04/07 11:30:00.000,17,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7
24.0017,57.0833,57.0833,1.4,98027,24.0017,14,1998/04/07 14:20:00.000,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
24.0017,57.0833,57.0833,1.1,98030,24.0017,15,1998/04/23 11:10:00.000,21,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
23.9833,57.1,57.1,1.5,98031,23.9833,16,1998/04/23 12:30:00.000,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
23.9333,57.1667,57.1667,1.9,98032,23.9333,17,1998/04/23 13:45:00.000,13,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
23.85,57.3,57.3,2.1,98033,23.85,18,1998/04/23 15:15:00.000,11,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7
23.7667,57.4167,57.4167,2.2,98034,23.7667,19,1998/04/23 17:10:00.000,9,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7
23.4833,57.4,57.4,2.1,98035,23.4833,20,1998/04/23 18:55:00.000,9,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7
23.2123,57.3275,57.3275,2.9,98036,23.2123,21,1998/04/23 20:35:00.000,9,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7
23.6167,57.6167,57.6167,2.6,98038,23.6167,22,1998/04/24 06:40:00.000,9,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7
24.1167,57.6,57.6,2.4,98039,24.1167,23,1998/04/24 10:20:00.000,11,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7
24.3367,57.5933,57.5933,2.9,98040,24.3367,24,1998/04/24 11:25:00.000,13,LAT-004,Latvia,Gulf of Riga,"Gulf of Riga stony coast, waterbodies D&F",,"Gulf of Riga stony coast, waterbodies D&F",308.69830546,436367.284109,1064792248.48
24.0833,57.35,57.35,2,98041,24.0833,25,1998/04/24 13:50:00.000,21,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7
24.3733,57.315,57.315,1.8,98042,24.3733,26,1998/04/24 15:40:00.000,21,LAT-004,Latvia,Gulf of Riga,"Gulf of Riga stony coast, waterbodies D&F",,"Gulf of Riga stony coast, waterbodies D&F",308.69830546,436367.284109,1064792248.48
24.0017,57.0833,57.0833,1.3,98005,24.0017,27,1998/02/14 11:20:00.000,21,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
24.0017,57.0833,57.0833,1.8,98002,24.0017,28,1998/01/21 14:40:00.000,21,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
23.85,57.3,57.3,4.1,98001,23.85,29,1998/01/21 11:40:00.000,9,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7
24.3667,57.24,57.24,1.4,98043,24.3667,30,1998/04/24 16:25:00.000,21,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
24.25,57.1683,57.1683,1.3,98044,24.25,31,1998/04/24 17:30:00.000,21,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
