longitude,visit_date,color_id,latitude,fid,station_vi,transparen,HELCOM_ID,country,level_2,Name,Open_sea,F2_Name,new_area_k,Shape_Leng,Shape_Area,geometry,Day_generated,Month_generated,Year_generated,Year_adj_generated,period_label,leap_year,group_labels
23.9537,2004-04-04T12:55:00Z,13,57.1467,424,204038,1,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9537|57.1467,4,4,2004,2004,Mar-02:May-30,TRUE,spring
23.9433,2004-04-04T13:15:00Z,9,57.155,425,204039,1,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9433|57.155,4,4,2004,2004,Mar-02:May-30,TRUE,spring
23.935,2004-04-04T13:40:00Z,9,57.1642,426,204040,1.1,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.935|57.1642,4,4,2004,2004,Mar-02:May-30,TRUE,spring
23.9355,2004-04-04T13:55:00Z,9,57.1748,427,204041,1.1,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9355|57.1748,4,4,2004,2004,Mar-02:May-30,TRUE,spring
23.8573,2004-04-04T14:55:00Z,9,57.2698,428,204042,1.5,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.8573|57.2698,4,4,2004,2004,Mar-02:May-30,TRUE,spring
23.8458,2004-04-04T15:10:00Z,9,57.2898,429,204043,1.2,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.8458|57.2898,4,4,2004,2004,Mar-02:May-30,TRUE,spring
23.8143,2004-04-04T15:50:00Z,9,57.3538,430,204044,1.4,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.8143|57.3538,4,4,2004,2004,Mar-02:May-30,TRUE,spring
23.7848,2004-04-04T16:25:00Z,9,57.3908,431,204045,2,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.7848|57.3908,4,4,2004,2004,Mar-02:May-30,TRUE,spring
23.6805,2004-04-04T17:00:00Z,9,57.3788,432,204046,2.3,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.6805|57.3788,4,4,2004,2004,Mar-02:May-30,TRUE,spring
23.697,2004-04-04T17:15:00Z,9,57.3673,433,204047,2,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.697|57.3673,4,4,2004,2004,Mar-02:May-30,TRUE,spring
23.7785,2004-04-04T18:00:00Z,9,57.3005,434,204048,1.7,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.7785|57.3005,4,4,2004,2004,Mar-02:May-30,TRUE,spring
23.8025,2004-04-04T18:15:00Z,12,57.2785,435,204049,1.7,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.8025|57.2785,4,4,2004,2004,Mar-02:May-30,TRUE,spring
23.8378,2004-04-04T18:45:00Z,12,57.2407,436,204050,1.7,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.8378|57.2407,4,4,2004,2004,Mar-02:May-30,TRUE,spring
23.8805,2004-04-04T19:20:00Z,21,57.2,437,204051,1,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.8805|57.2,4,4,2004,2004,Mar-02:May-30,TRUE,spring
23.937,2004-04-04T19:55:00Z,12,57.1453,438,204052,1,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.937|57.1453,4,4,2004,2004,Mar-02:May-30,TRUE,spring
23.9668,2004-04-04T20:20:00Z,12,57.1087,439,204053,0.8,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9668|57.1087,4,4,2004,2004,Mar-02:May-30,TRUE,spring
24.0017,2004-04-05T10:05:00Z,21,57.0833,440,204054,0.7,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,24.0017|57.0833,5,4,2004,2004,Mar-02:May-30,TRUE,spring
23.9833,2004-04-05T10:55:00Z,21,57.1,441,204055,0.9,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9833|57.1,5,4,2004,2004,Mar-02:May-30,TRUE,spring
23.9333,2004-04-05T11:55:00Z,21,57.1667,442,204056,1.1,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9333|57.1667,5,4,2004,2004,Mar-02:May-30,TRUE,spring
23.6667,2004-04-05T13:25:00Z,21,57.1667,443,204057,1,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.6667|57.1667,5,4,2004,2004,Mar-02:May-30,TRUE,spring
23.85,2004-04-05T15:00:00Z,19,57.3,444,204058,1.6,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.85|57.3,5,4,2004,2004,Mar-02:May-30,TRUE,spring
23.4833,2004-04-05T17:25:00Z,13,57.4,445,204059,3.3,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.4833|57.4,5,4,2004,2004,Mar-02:May-30,TRUE,spring
22.9833,2004-04-05T20:00:00Z,11,57.5667,446,204060,4.3,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,22.9833|57.5667,5,4,2004,2004,Mar-02:May-30,TRUE,spring
22.8167,2004-04-24T10:32:00Z,9,57.5333,447,204061,3,LAT-003,Latvia,Gulf of Riga,"Gulf of Riga sandy coast, waterbodies C&E","","Gulf of Riga sandy coast, waterbodies C&E",387.080162999,296440.220511,1327844259.75,22.8167|57.5333,24,4,2004,2004,Mar-02:May-30,TRUE,spring
22.9833,2004-04-24T11:33:00Z,9,57.5667,448,204062,2.5,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,22.9833|57.5667,24,4,2004,2004,Mar-02:May-30,TRUE,spring
23.4833,2004-04-24T14:20:00Z,15,57.4,449,204063,1.9,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.4833|57.4,24,4,2004,2004,Mar-02:May-30,TRUE,spring
23.7667,2004-04-24T15:47:00Z,11,57.4167,450,204064,2.2,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.7667|57.4167,24,4,2004,2004,Mar-02:May-30,TRUE,spring
23.85,2004-04-24T17:13:00Z,11,57.3,451,204065,2,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.85|57.3,24,4,2004,2004,Mar-02:May-30,TRUE,spring
23.6667,2004-04-24T19:15:00Z,19,57.1667,452,204066,1.8,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.6667|57.1667,24,4,2004,2004,Mar-02:May-30,TRUE,spring
23.9333,2004-04-24T20:40:00Z,21,57.1667,453,204067,1.6,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9333|57.1667,24,4,2004,2004,Mar-02:May-30,TRUE,spring
24.0017,2004-04-25T06:32:00Z,21,57.0833,454,204070,1.8,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,24.0017|57.0833,25,4,2004,2004,Mar-02:May-30,TRUE,spring
24.0833,2004-04-25T09:00:00Z,21,57.35,455,204071,1.9,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,24.0833|57.35,25,4,2004,2004,Mar-02:May-30,TRUE,spring
24.1167,2004-04-25T11:10:00Z,9,57.6,456,204072,2.3,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,24.1167|57.6,25,4,2004,2004,Mar-02:May-30,TRUE,spring
