longitude,latitude,visit_date,transparency_m,color_id,HELCOM_ID,country,level_2,Name,Open_sea,F2_Name,new_area_k,Shape_Leng,Shape_Area,Day_generated,Month_generated,Year_generated,Year_adj_generated,period_label,leap_year,group_labels
23.85,57.3,2004-05-23T14:30:00Z,2.9,14,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23,5,2004,2004,Mar-02:May-30,TRUE,spring
23.9833,57.1,2004-06-29T12:00:00Z,1.8,21,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,29,6,2004,2004,Jun-01:Aug-30,TRUE,summer
23.85,57.3,2004-06-30T05:35:00Z,2.8,16,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,30,6,2004,2004,Jun-01:Aug-30,TRUE,summer
23.9833,57.1,2004-07-27T14:45:00Z,2.5,13,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,27,7,2004,2004,Jun-01:Aug-30,TRUE,summer
23.85,57.3,2004-08-09T21:40:00Z,3,16,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,9,8,2004,2004,Jun-01:Aug-30,TRUE,summer
23.9833,57.1,2004-08-11T13:40:00Z,3,15,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,11,8,2004,2004,Jun-01:Aug-30,TRUE,summer
23.9833,57.1,2004-09-17T14:10:00Z,2.6,13,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,17,9,2004,2004,Sep-01:Nov-30,TRUE,autumn
23.9833,57.1,2004-10-12T12:45:00Z,3.4,13,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,12,10,2004,2004,Sep-01:Nov-30,TRUE,autumn
23.9833,57.1,2004-10-26T13:20:00Z,3.5,9,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,26,10,2004,2004,Sep-01:Nov-30,TRUE,autumn
23.85,57.3,2004-11-02T13:55:00Z,4.5,9,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,2,11,2004,2004,Sep-01:Nov-30,TRUE,autumn
23.9833,57.1,2004-11-27T12:20:00Z,1.6,17,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,27,11,2004,2004,Sep-01:Nov-30,TRUE,autumn
23.85,57.3,2004-12-14T07:50:00Z,2.5,9,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,14,12,2004,2005,Dec-01:Mar-01,TRUE,winter
